date	controller	action	hits
2009-07-01	controller 2	action 2	700
2009-08-01	controller 2	action 2	1006
2009-09-01	controller 2	action 2	1106
2009-10-01	controller 2	action 2	1419
2009-11-01	controller 2	action 2	1325
2009-12-01	controller 2	action 2	1416
2008-01-01	controller 2	action 3	100
2008-02-01	controller 2	action 3	165
2008-03-01	controller 2	action 3	211
2008-04-01	controller 2	action 3	315
2008-05-01	controller 2	action 3	366
2008-06-01	controller 2	action 3	381
2008-07-01	controller 2	action 3	414
2008-08-01	controller 2	action 3	537
2008-09-01	controller 2	action 3	568
2008-10-01	controller 2	action 3	527
2008-11-01	controller 2	action 3	824
2008-12-01	controller 2	action 3	1102
2009-01-01	controller 2	action 3	1051
2009-02-01	controller 2	action 3	1516
2009-03-01	controller 2	action 3	1609
2009-04-01	controller 2	action 3	1831
2009-05-01	controller 2	action 3	1942
2009-06-01	controller 2	action 3	1789
2009-07-01	controller 2	action 3	1829
2009-08-01	controller 2	action 3	2274
2009-09-01	controller 2	action 3	2655
2009-10-01	controller 2	action 3	3177
2009-11-01	controller 2	action 3	3929
2009-12-01	controller 2	action 3	3202
2008-01-01	controller 2	action 4	100
2008-02-01	controller 2	action 4	103
2008-03-01	controller 2	action 4	123
2008-04-01	controller 2	action 4	190
2008-05-01	controller 2	action 4	183
2008-06-01	controller 2	action 4	203
2008-07-01	controller 2	action 4	156
2008-08-01	controller 2	action 4	135
2008-09-01	controller 2	action 4	128
2008-10-01	controller 2	action 4	156
2008-11-01	controller 2	action 4	167
2008-12-01	controller 2	action 4	213
2009-01-01	controller 2	action 4	309
2009-02-01	controller 2	action 4	343
2009-03-01	controller 2	action 4	349
2009-04-01	controller 2	action 4	359
2009-05-01	controller 2	action 4	387
2009-06-01	controller 2	action 4	524
2009-07-01	controller 2	action 4	522
2009-08-01	controller 2	action 4	672
2009-09-01	controller 2	action 4	757
2009-10-01	controller 2	action 4	1030
2009-11-01	controller 2	action 4	1131
2009-12-01	controller 2	action 4	1406
2008-01-01	controller 3	action 1	100
2008-02-01	controller 3	action 1	120
2008-03-01	controller 3	action 1	133
2008-04-01	controller 3	action 1	144
2008-05-01	controller 3	action 1	182
2008-06-01	controller 3	action 1	227
2008-07-01	controller 3	action 1	197
2008-08-01	controller 3	action 1	302
2008-09-01	controller 3	action 1	417
2008-10-01	controller 3	action 1	568
2008-11-01	controller 3	action 1	713
2008-12-01	controller 3	action 1	1061
2009-01-01	controller 3	action 1	1250
2009-02-01	controller 3	action 1	1812
2009-03-01	controller 3	action 1	2185
2009-04-01	controller 3	action 1	2782
2009-05-01	controller 3	action 1	3879
2009-06-01	controller 3	action 1	4855
2009-07-01	controller 3	action 1	5022
2009-08-01	controller 3	action 1	8305
2009-09-01	controller 3	action 1	9924
2009-10-01	controller 3	action 1	10801
2009-11-01	controller 3	action 1	13658
2009-12-01	controller 3	action 1	11678
2008-01-01	controller 3	action 2	100
2008-02-01	controller 3	action 2	162
2008-03-01	controller 3	action 2	149
2008-04-01	controller 3	action 2	158
2008-05-01	controller 3	action 2	196
2008-06-01	controller 3	action 2	330
2008-07-01	controller 3	action 2	522
2008-08-01	controller 3	action 2	520
2008-09-01	controller 3	action 2	555
2008-10-01	controller 3	action 2	816
2008-11-01	controller 3	action 2	1079
2008-12-01	controller 3	action 2	1155
2009-01-01	controller 3	action 2	1229
2009-02-01	controller 3	action 2	1293
2009-03-01	controller 3	action 2	1670
2009-04-01	controller 3	action 2	2321
2009-05-01	controller 3	action 2	3560
2009-06-01	controller 3	action 2	4321
2009-07-01	controller 3	action 2	5368
2009-08-01	controller 3	action 2	6356
2009-09-01	controller 3	action 2	7742
2009-10-01	controller 3	action 2	8831
2009-11-01	controller 3	action 2	9550
2009-12-01	controller 3	action 2	10736
2008-01-01	controller 3	action 3	100
2008-02-01	controller 3	action 3	114
2008-03-01	controller 3	action 3	130
2008-04-01	controller 3	action 3	154
2008-05-01	controller 3	action 3	202
2008-06-01	controller 3	action 3	184
2008-07-01	controller 3	action 3	198
2008-08-01	controller 3	action 3	266
2008-09-01	controller 3	action 3	233
2008-10-01	controller 3	action 3	251
2008-11-01	controller 3	action 3	255
2008-12-01	controller 3	action 3	270
2009-01-01	controller 3	action 3	288
2009-02-01	controller 3	action 3	315
2009-03-01	controller 3	action 3	422
2009-04-01	controller 3	action 3	470
2009-05-01	controller 3	action 3	486
2009-06-01	controller 3	action 3	560
2009-07-01	controller 3	action 3	707
2009-08-01	controller 3	action 3	771
2009-09-01	controller 3	action 3	727
2009-10-01	controller 3	action 3	933
2009-11-01	controller 3	action 3	951
2009-12-01	controller 3	action 3	1032
2008-01-01	controller 3	action 4	100
2008-02-01	controller 3	action 4	97
2008-03-01	controller 3	action 4	149
2008-04-01	controller 3	action 4	120
2008-05-01	controller 3	action 4	102
2008-06-01	controller 3	action 4	101
2008-07-01	controller 3	action 4	128
2008-08-01	controller 3	action 4	152
2008-09-01	controller 3	action 4	177
2008-10-01	controller 3	action 4	258
2008-11-01	controller 3	action 4	307
2008-12-01	controller 3	action 4	299
2009-01-01	controller 3	action 4	245
2009-02-01	controller 3	action 4	321
2009-03-01	controller 3	action 4	413
2009-04-01	controller 3	action 4	545
2009-05-01	controller 3	action 4	629
2009-06-01	controller 3	action 4	782
2009-07-01	controller 3	action 4	1022
2009-08-01	controller 3	action 4	1470
2009-09-01	controller 3	action 4	2076
2009-10-01	controller 3	action 4	2323
2009-11-01	controller 3	action 4	2946
2009-12-01	controller 3	action 4	3608
2008-01-01	controller 4	action 1	100
2008-02-01	controller 4	action 1	101
2008-03-01	controller 4	action 1	80
2008-04-01	controller 4	action 1	99
2008-05-01	controller 4	action 1	130
2008-06-01	controller 4	action 1	117
2008-07-01	controller 4	action 1	159
2008-08-01	controller 4	action 1	232
2008-09-01	controller 4	action 1	214
2008-10-01	controller 4	action 1	356
2008-11-01	controller 4	action 1	373
2008-12-01	controller 4	action 1	423
2009-01-01	controller 4	action 1	546
2009-02-01	controller 4	action 1	666
2009-03-01	controller 4	action 1	878
2009-04-01	controller 4	action 1	1022
2009-05-01	controller 4	action 1	1401
2009-06-01	controller 4	action 1	1961
2009-07-01	controller 4	action 1	2250
2009-08-01	controller 4	action 1	2475
2009-09-01	controller 4	action 1	2114
2009-10-01	controller 4	action 1	3313
2009-11-01	controller 4	action 1	3798
2009-12-01	controller 4	action 1	5181
2008-01-01	controller 4	action 2	100
2008-02-01	controller 4	action 2	115
2008-03-01	controller 4	action 2	141
2008-04-01	controller 4	action 2	173
2008-05-01	controller 4	action 2	258
2008-06-01	controller 4	action 2	359
2008-07-01	controller 4	action 2	375
2008-08-01	controller 4	action 2	304
2008-09-01	controller 4	action 2	432
2008-10-01	controller 4	action 2	562
2008-11-01	controller 4	action 2	595
2008-12-01	controller 4	action 2	504
2009-01-01	controller 4	action 2	740
2009-02-01	controller 4	action 2	671
2009-03-01	controller 4	action 2	707
2009-04-01	controller 4	action 2	839
2009-05-01	controller 4	action 2	757
2009-06-01	controller 4	action 2	957
2009-07-01	controller 4	action 2	1135
2009-08-01	controller 4	action 2	1468
2009-09-01	controller 4	action 2	2082
2009-10-01	controller 4	action 2	2609
2009-11-01	controller 4	action 2	2784
2009-12-01	controller 4	action 2	2814
2008-01-01	controller 4	action 3	100
2008-02-01	controller 4	action 3	110
2008-03-01	controller 4	action 3	89
2008-04-01	controller 4	action 3	111
2008-05-01	controller 4	action 3	140
2008-06-01	controller 4	action 3	232
2008-07-01	controller 4	action 3	226
2008-08-01	controller 4	action 3	309
2008-09-01	controller 4	action 3	367
2008-10-01	controller 4	action 3	536
2008-11-01	controller 4	action 3	602
2008-12-01	controller 4	action 3	635
2009-01-01	controller 4	action 3	487
2009-02-01	controller 4	action 3	628
2009-03-01	controller 4	action 3	601
2009-04-01	controller 4	action 3	748
2009-05-01	controller 4	action 3	938
2009-06-01	controller 4	action 3	1202
2009-07-01	controller 4	action 3	1441
2009-08-01	controller 4	action 3	1297
2009-09-01	controller 4	action 3	1469
2009-10-01	controller 4	action 3	1695
2009-11-01	controller 4	action 3	2002
2009-12-01	controller 4	action 3	3052
2008-01-01	controller 4	action 4	100
2008-02-01	controller 4	action 4	100
2008-03-01	controller 4	action 4	107
2008-04-01	controller 4	action 4	128
2008-05-01	controller 4	action 4	147
2008-06-01	controller 4	action 4	197
2008-07-01	controller 4	action 4	247
2008-08-01	controller 4	action 4	306
2008-09-01	controller 4	action 4	348
2008-10-01	controller 4	action 4	446
2008-11-01	controller 4	action 4	573
2008-12-01	controller 4	action 4	584
2009-01-01	controller 4	action 4	850
2009-02-01	controller 4	action 4	958
2009-03-01	controller 4	action 4	963
2009-04-01	controller 4	action 4	1078
2009-05-01	controller 4	action 4	1087
2009-06-01	controller 4	action 4	1073
2009-07-01	controller 4	action 4	1269
2009-08-01	controller 4	action 4	1661
2009-09-01	controller 4	action 4	2135
2009-10-01	controller 4	action 4	2154
2009-11-01	controller 4	action 4	2469
2009-12-01	controller 4	action 4	3569
2008-01-01	controller 5	action 1	100
2008-02-01	controller 5	action 1	121
2008-03-01	controller 5	action 1	174
2008-04-01	controller 5	action 1	181
2008-05-01	controller 5	action 1	202
2008-06-01	controller 5	action 1	226
2008-07-01	controller 5	action 1	319
2008-08-01	controller 5	action 1	338
2008-09-01	controller 5	action 1	334
2008-10-01	controller 5	action 1	421
2008-11-01	controller 5	action 1	536
2008-12-01	controller 5	action 1	486
2009-01-01	controller 5	action 1	590
2009-02-01	controller 5	action 1	671
2009-03-01	controller 5	action 1	752
2009-04-01	controller 5	action 1	528
2009-05-01	controller 5	action 1	862
2009-06-01	controller 5	action 1	957
2009-07-01	controller 5	action 1	1181
2009-08-01	controller 5	action 1	1342
2009-09-01	controller 5	action 1	1376
2009-10-01	controller 5	action 1	2235
2009-11-01	controller 5	action 1	2874
2009-12-01	controller 5	action 1	2608
2008-01-01	controller 5	action 2	100
2008-02-01	controller 5	action 2	113
2008-03-01	controller 5	action 2	169
2008-04-01	controller 5	action 2	185
2008-05-01	controller 5	action 2	201
2008-06-01	controller 5	action 2	206
2008-07-01	controller 5	action 2	186
2008-08-01	controller 5	action 2	218
2008-09-01	controller 5	action 2	352
2008-10-01	controller 5	action 2	384
2008-11-01	controller 5	action 2	428
2008-12-01	controller 5	action 2	608
2009-01-01	controller 5	action 2	800
2009-02-01	controller 5	action 2	1165
2009-03-01	controller 5	action 2	1314
2009-04-01	controller 5	action 2	1657
2009-05-01	controller 5	action 2	1940
2009-06-01	controller 5	action 2	2918
2009-07-01	controller 5	action 2	2666
2009-08-01	controller 5	action 2	2806
2009-09-01	controller 5	action 2	2864
2009-10-01	controller 5	action 2	2921
2009-11-01	controller 5	action 2	3978
2009-12-01	controller 5	action 2	5235
2008-01-01	controller 5	action 3	100
2008-02-01	controller 5	action 3	90
2008-03-01	controller 5	action 3	100
2008-04-01	controller 5	action 3	143
2008-05-01	controller 5	action 3	175
2008-06-01	controller 5	action 3	151
2008-07-01	controller 5	action 3	141
2008-08-01	controller 5	action 3	216
2008-09-01	controller 5	action 3	317
2008-10-01	controller 5	action 3	342
2008-11-01	controller 5	action 3	406
2008-12-01	controller 5	action 3	500
2009-01-01	controller 5	action 3	525
2009-02-01	controller 5	action 3	678
2009-03-01	controller 5	action 3	1419
2009-04-01	controller 5	action 3	1747
2009-05-01	controller 5	action 3	2025
2009-06-01	controller 5	action 3	2405
2009-07-01	controller 5	action 3	2677
2009-08-01	controller 5	action 3	3347
2009-09-01	controller 5	action 3	4035
2009-10-01	controller 5	action 3	5064
2009-11-01	controller 5	action 3	5672
2009-12-01	controller 5	action 3	5663
2008-01-01	controller 5	action 4	100
2008-02-01	controller 5	action 4	88
2008-03-01	controller 5	action 4	94
2008-04-01	controller 5	action 4	84
2008-05-01	controller 5	action 4	86
2008-06-01	controller 5	action 4	93
2008-07-01	controller 5	action 4	118
2008-08-01	controller 5	action 4	106
2008-09-01	controller 5	action 4	105
2008-10-01	controller 5	action 4	113
2008-11-01	controller 5	action 4	123
2008-12-01	controller 5	action 4	121
2009-01-01	controller 5	action 4	130
2009-02-01	controller 5	action 4	134
2009-03-01	controller 5	action 4	126
2009-04-01	controller 5	action 4	139
2009-05-01	controller 5	action 4	194
2009-06-01	controller 5	action 4	215
2009-07-01	controller 5	action 4	212
2009-08-01	controller 5	action 4	221
2009-09-01	controller 5	action 4	231
2009-10-01	controller 5	action 4	297
2009-11-01	controller 5	action 4	393
2009-12-01	controller 5	action 4	647
2008-01-01	controller 6	action 1	100
2008-02-01	controller 6	action 1	104
2008-03-01	controller 6	action 1	119
2008-04-01	controller 6	action 1	142
2008-05-01	controller 6	action 1	166
2008-06-01	controller 6	action 1	187
2008-07-01	controller 6	action 1	242
2008-08-01	controller 6	action 1	315
2008-09-01	controller 6	action 1	401
2008-10-01	controller 6	action 1	473
2008-11-01	controller 6	action 1	729
2008-12-01	controller 6	action 1	649
2009-01-01	controller 6	action 1	616
2009-02-01	controller 6	action 1	907
2009-03-01	controller 6	action 1	825
2009-04-01	controller 6	action 1	861
2009-05-01	controller 6	action 1	932
2009-06-01	controller 6	action 1	1203
2009-07-01	controller 6	action 1	1014
2009-08-01	controller 6	action 1	847
2009-09-01	controller 6	action 1	848
2009-10-01	controller 6	action 1	917
2009-11-01	controller 6	action 1	1178
2009-12-01	controller 6	action 1	1316
2008-01-01	controller 6	action 2	100
2008-02-01	controller 6	action 2	91
2008-03-01	controller 6	action 2	122
2008-04-01	controller 6	action 2	158
2008-05-01	controller 6	action 2	157
2008-06-01	controller 6	action 2	187
2008-07-01	controller 6	action 2	197
2008-08-01	controller 6	action 2	214
2008-09-01	controller 6	action 2	297
2008-10-01	controller 6	action 2	407
2008-11-01	controller 6	action 2	417
2008-12-01	controller 6	action 2	608
2009-01-01	controller 6	action 2	767
2009-02-01	controller 6	action 2	1029
2009-03-01	controller 6	action 2	1134
2009-04-01	controller 6	action 2	1552
2009-05-01	controller 6	action 2	1828
2009-06-01	controller 6	action 2	1951
2009-07-01	controller 6	action 2	2409
2009-08-01	controller 6	action 2	2394
2009-09-01	controller 6	action 2	1855
2009-10-01	controller 6	action 2	2058
2009-11-01	controller 6	action 2	2467
2009-12-01	controller 6	action 2	3388
2008-01-01	controller 6	action 3	100
2008-02-01	controller 6	action 3	99
2008-03-01	controller 6	action 3	99
2008-04-01	controller 6	action 3	135
2008-05-01	controller 6	action 3	163
2008-06-01	controller 6	action 3	143
2008-07-01	controller 6	action 3	204
2008-08-01	controller 6	action 3	246
2008-09-01	controller 6	action 3	295
2008-10-01	controller 6	action 3	325
2008-11-01	controller 6	action 3	322
2008-12-01	controller 6	action 3	332
2009-01-01	controller 6	action 3	386
2009-02-01	controller 6	action 3	473
2009-03-01	controller 6	action 3	534
2009-04-01	controller 6	action 3	724
2009-05-01	controller 6	action 3	906
2009-06-01	controller 6	action 3	1501
2009-07-01	controller 6	action 3	2045
2009-08-01	controller 6	action 3	3027
2009-09-01	controller 6	action 3	3953
2009-10-01	controller 6	action 3	3961
2009-11-01	controller 6	action 3	3969
2009-12-01	controller 6	action 3	4371
2008-01-01	controller 6	action 4	100
2008-02-01	controller 6	action 4	130
2008-03-01	controller 6	action 4	137
2008-04-01	controller 6	action 4	231
2008-05-01	controller 6	action 4	307
2008-06-01	controller 6	action 4	389
2008-07-01	controller 6	action 4	376
2008-08-01	controller 6	action 4	563
2008-09-01	controller 6	action 4	588
2008-10-01	controller 6	action 4	830
2008-11-01	controller 6	action 4	1103
2008-12-01	controller 6	action 4	1418
2009-01-01	controller 6	action 4	1899
2009-02-01	controller 6	action 4	1730
2009-03-01	controller 6	action 4	1951
2009-04-01	controller 6	action 4	3233
2009-05-01	controller 6	action 4	3273
2009-06-01	controller 6	action 4	3990
2009-07-01	controller 6	action 4	4557
2009-08-01	controller 6	action 4	4462
2009-09-01	controller 6	action 4	5569
2009-10-01	controller 6	action 4	7119
2009-11-01	controller 6	action 4	9476
2009-12-01	controller 6	action 4	12570
